score,base_rgb,base_t,base_u,target_rgb,target_t,target_u,EN,SD,AG,SF,MI_RGB,MI_Thermal,MI_UV,MI_SUM
6.9877920451975735,0.9,0.02,0.08,0.65,0.25,0.1,6.22720346627412,54.1447411972256,3.681026664780982,13.589923867472896,2.6933963860283145,1.6019736587538351,2.5140415811346304,6.80941162591678
6.987625647241958,0.9,0.02,0.08,0.7000000000000001,0.2,0.1,6.203102002909154,54.2413849195916,3.682119356997219,13.697166678346234,2.710606459167087,1.5885728398860555,2.5094969340871662,6.80867623314031
6.986608589645509,0.9199999999999999,0.02,0.06,0.5,0.2,0.3,6.117492781745063,55.20869595446897,3.709168334801992,13.623982999059889,2.7890226593762404,1.6074323167618165,2.410758648468092,6.80721362460615
6.986469705418217,0.9,0.08,0.02,0.5,0.4,0.1,6.308632721135646,54.17803243076142,3.6916663580470614,13.332221360854161,2.655704424159905,2.2838211488197255,1.8695330348929033,6.809058607872534
6.981880084398517,0.9,0.02,0.08,0.45,0.35,0.2,6.2769496102391935,54.10709630202897,3.677877852946152,13.282862224696595,2.6600274956351457,1.6125015918740009,2.532600350177503,6.805129437686649
6.981419801470603,0.9,0.02,0.08,0.5499999999999999,0.3,0.15,6.254403708893576,54.040798550598836,3.6760641064172908,13.411833821991344,2.673790385661718,1.6076143243570475,2.522673999149362,6.804078709168127
6.97748285694822,0.9,0.08,0.02,0.55,0.35,0.1,6.291062709725933,54.0400925476324,3.686043170499213,13.395563727543678,2.6610999990574813,2.2743057085733263,1.864518035564718,6.799923743195525
6.975720580576487,0.9,0.02,0.08,0.6,0.25,0.15,6.23408638547968,54.0186167978045,3.67396973018293,13.495329371205083,2.683295039163404,1.5964190170517603,2.51831078559981,6.798024841814974
6.9755344100678265,0.9,0.02,0.08,0.65,0.2,0.15,6.211553454399109,54.086714141604276,3.6744186642729204,13.594036944118546,2.6979517710825953,1.5845974662301978,2.5147824281062556,6.797331665419047
6.974989928152126,0.9,0.02,0.08,0.4,0.35,0.25,6.280646065135061,54.091210049237546,3.677638468183117,13.23644436141591,2.6530525501416,1.6094458587430722,2.53598014341488,6.798478552299552
6.974111649986308,0.9,0.08,0.02,0.44999999999999996,0.4,0.15,6.312249932760074,54.133084681386244,3.686967189665194,13.265902392658187,2.6482036232213546,2.2768590587550457,1.8721104403566613,6.797173122333061
6.9727219920140024,0.9,0.02,0.08,0.49999999999999994,0.3,0.2,6.259420686297947,53.96998004385083,3.6723625122764965,13.340111388100517,2.6657867042872323,1.6034103246365732,2.5266535307813993,6.795850559705205
6.967920726703323,0.9,0.02,0.08,0.35000000000000003,0.35,0.3,6.283273283346199,54.101977608693545,3.679737659148228,13.205425336037154,2.6461736059800893,1.6066136022563402,2.5387142620122605,6.79150147024869
6.967257097738525,0.9,0.02,0.08,0.55,0.25,0.2,6.240151087443034,53.91934961694034,3.6693426348544933,13.413917348708635,2.6743004543598285,1.593395852303195,2.522410925286324,6.790107231949347
6.967222541578516,0.9,0.08,0.02,0.6,0.3,0.1,6.269829739758998,53.987779998785584,3.68278118784045,13.475083872124001,2.6674783386077157,2.2633004834066344,1.8585848645683314,6.789363686582682
6.967074658205619,0.9,0.02,0.08,0.6000000000000001,0.2,0.2,6.218956448413707,53.9590157880066,3.6691098029230846,13.503581276646367,2.6872788525449844,1.5825244394317235,2.519680165757987,6.789483457734694
6.966584359657125,0.9,0.02,0.08,0.44999999999999996,0.3,0.25,6.264176059652258,53.92625994817735,3.6709572974546454,13.282848140339793,2.6586848177219395,1.6007885096158778,2.530568072693968,6.790041400031787
6.965363615461511,0.9,0.08,0.02,0.5,0.35,0.15,6.295644564393126,53.96668317404522,3.6804624126281267,13.319103519121805,2.6531897541093294,2.267447815720504,1.8677166556572251,6.7883542254870575
6.965080463607888,0.9,0.08,0.02,0.39999999999999997,0.4,0.2,6.315568322016869,54.114853226535466,3.685223215891991,13.21456448972961,2.641615849562627,2.27190322229907,1.8749318728207816,6.78845094468248
6.961305133017938,0.9,0.02,0.08,0.5,0.25,0.25,6.24579887184096,53.847010384761276,3.667042596104704,13.346364296512839,2.6663338597789057,1.5915443030009975,2.5266838708723296,6.784562033652232
6.96114491761527,0.9,0.02,0.08,0.55,0.2,0.25,6.225954351601778,53.857910466722295,3.6659602957007325,13.426413430107964,2.6781129252986844,1.5814571883352557,2.524463927959769,6.784034041593708
6.960672870066183,0.9,0.02,0.08,0.39999999999999997,0.3,0.3,6.267935329013401,53.90962100493718,3.671829402446747,13.240587163854528,2.6517810251766254,1.5986303616638582,2.533903665333025,6.7843150521735085
6.958005516079829,0.9,0.08,0.02,0.65,0.25,0.1,6.245437723618966,54.025489699573946,3.682168756002261,13.570136803167838,2.6779631805906505,2.2490463207060403,1.8526802680872307,6.779689769383921
6.957227167348503,0.9,0.08,0.02,0.45,0.35,0.2,6.3000741299287775,53.92044034319963,3.6775678859816656,13.25693854726391,2.6464334618531957,2.2630982402919817,1.871083735887556,6.780615438032734
6.956941307693185,0.9,0.08,0.02,0.7000000000000001,0.2,0.1,6.21798453360428,54.15575054734083,3.6843598941226063,13.679791188534395,2.697346496967864,2.2338231974216245,1.8468418605373476,6.778011554926835
6.956621513781234,0.9,0.02,0.08,0.5,0.2,0.3,6.232243864624588,53.78414075547898,3.664726588461134,13.363192562703732,2.6696644929803655,1.5812687360328617,2.528930524300654,6.779863753313881
6.956112090074766,0.9,0.08,0.02,0.5499999999999999,0.3,0.15,6.275964182100179,53.88544299683249,3.676367076826684,13.388978964016761,2.6591329852077603,2.257026215839431,1.8627169819026903,6.778876182949881
6.955795232951877,0.9,0.02,0.08,0.45,0.25,0.3,6.250550014001352,53.80203383424036,3.6667854469499472,13.293308887952639,2.6588143540454365,1.5901248463608801,2.530385924697298,6.779325125103615
6.951163697101685,0.9,0.08,0.02,0.4,0.35,0.25,6.303974334104561,53.90163754300718,3.677267681669306,13.20991771603808,2.640026588706683,2.2601550925891196,1.8746143967756117,6.774796078071415
6.9479179972037635,0.9,0.08,0.02,0.49999999999999994,0.3,0.2,6.281207245073201,53.810351343277304,3.6725366726333712,13.316594974494274,2.6514159873690906,2.2532952848062258,1.8664476499769755,6.771158922152291
6.946530533343001,0.9,0.08,0.02,0.6,0.25,0.15,6.25279242462582,53.89389624338843,3.6749370716236256,13.474874347816279,2.667900085146583,2.2438073307287305,1.8572006335798976,6.768908049455211
6.944902059445769,0.9,0.08,0.02,0.65,0.2,0.15,6.227318052892332,53.99522222090812,3.6764023598329523,13.576005067354368,2.6845342861134145,2.229941777108808,1.8522539000917861,6.766729963314009
6.944689417679775,0.9,0.08,0.02,0.35000000000000003,0.35,0.3,6.30684318954562,53.9100702995468,3.679308869956452,13.178338589491668,2.633452724491055,2.2574424703649205,1.8775232637776458,6.768418458633623
6.9416402038791745,0.9,0.08,0.02,0.44999999999999996,0.3,0.25,6.285952161859583,53.76291745005857,3.6710717567691096,13.258780433807845,2.644479498855568,2.2504318243299872,1.8703028258215064,6.765214149007062
6.938931846100213,0.9,0.08,0.02,0.55,0.25,0.2,6.259313865944192,53.78960828668003,3.6701474579764,13.392822635026626,2.6591339166025283,2.241064724784721,1.8616646677985378,6.761863309185788
6.93862248164711,0.9199999999999999,0.04,0.04,0.5,0.4,0.1,6.174555802050932,55.75200358109191,3.733956314899303,13.61093208377744,2.8151978882982727,1.8525302335871405,2.09082100989583,6.758549131781243
6.93700452591599,0.88,0.02,0.1,0.5,0.4,0.1,6.366445587005145,52.97402863146088,3.647463095776829,13.099791236865668,2.554374599034742,1.5905041701926201,2.617202907630996,6.762081676858357
6.936007537953708,0.9,0.08,0.02,0.39999999999999997,0.3,0.3,6.289916940677313,53.743237317121945,3.6718551604836076,13.215904516938291,2.637750354107277,2.248346763774409,1.8736752426728212,6.759772360554509
6.935718293625808,0.9,0.08,0.02,0.6000000000000001,0.2,0.2,6.235182176401586,53.862029808771865,3.6708866556485495,13.48491934199392,2.673225314582894,2.2279425955182974,1.8569991871451907,6.758167097246382
6.934042232768333,0.9,0.08,0.02,0.5,0.25,0.25,6.265512937380944,53.71287712861358,3.6677329164964183,13.32466658692301,2.651496230461876,2.239529841148341,1.866360840728608,6.757386912338826
6.9304024296694875,0.9,0.08,0.02,0.55,0.2,0.25,6.242613617284798,53.75589979351794,3.667555397675361,13.407191002810443,2.663777460010739,2.2272464560607115,1.8623158966537234,6.753339812725174
6.930372368698571,0.9199999999999999,0.04,0.04,0.55,0.35,0.1,6.158512823375655,55.59328735018212,3.7279975877867804,13.671525348851711,2.8209656338227167,1.8432874536642807,2.08592172683371,6.750174814320709
6.929841987162742,0.88,0.02,0.1,0.55,0.35,0.1,6.3500020857210515,52.81390449985996,3.6414348976111706,13.161802330134828,2.561377807065854,1.5820510981154228,2.6113610234024573,6.754789928583733
6.9294995939592505,0.9,0.08,0.02,0.45,0.25,0.3,6.270801423508444,53.66408409419637,3.667377363016576,13.271036411509101,2.6441499311741037,2.2383999603714346,1.8705731994656705,6.753123091011208
